Temperature,L=20,L=30,L=40,L=50,L=60,L=70
0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666
0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999
0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666
0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0333333333333332
1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667
1.1,1.1,1.1,1.1,1.1,1.1,1.1
1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333
1.1666666666666665,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.1666666666666665
1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334
1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666
1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998
1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
1.3666666666666667,1.3666666666666667,1.3666666666666667,1.3666666666666667,1.3666666666666667,1.3666666666666667,1.3666666666666667
1.4,1.4,1.4,1.4,1.4,1.4,1.4
1.4333333333333331,1.4333333333333331,1.4333333333333331,1.4333333333333331,1.4333333333333331,1.4333333333333331,1.4333333333333331
1.4666666666666666,1.4666666666666666,1.4666666666666666,1.4666666666666666,1.4666666666666666,1.4666666666666666,1.4666666666666666
1.5,1.5,1.5,1.5,1.5,1.5,1.5
